dmg,acc_date,type,reg,operator,fatal,location
w/o,19-Dec-20,British Aerospace BAe-125-700A,(N326TD),private,1,Parque Nacional Sierra de Lacandon
sub,20-Dec-20,Raytheon Hawker 800XP,N412JA,Talon Air,0,"Farmingdale-Republic Airport, NY (FRG)"
sub,22-Dec-20,Cessna 525 Citation M2,PR-HFT,La Barca Empreendimentos Ltda,0,"Uberlândia, MG (SBUL)"
non,23-Dec-20,Airbus A320-232,N463UA,United Airlines,0,"Houston, Texas"
sub,30-Dec-20,Cessna 208B Supervan 900,PZ-TSK,Blue Wing Airlines,0,Kawemhaken-Lawa Anapaike Airstrip
sub,07-Jan-19,Saab 340B,YL-RAF,RAF-AVIA,0,Savonlinna Airport (SVL)
sub,12-Jan-19,Boeing 737-524 (WL),VQ-BJP,UTair Aviation,0,Moskva-Vnukovo Airport (VKO)
sub,12-Jan-19,Canadair CL-600-2A12 Challenger 601,N813WT,TW 601-C Investment LLC,0,"Uvalde-Ox Ranch Airport ,TX"
w/o,14-Jan-19,Boeing 707-3J9C,EP-CPP,"Saha Air, lsf Islamic Republic of Iran Air Force - IRIAF",15,Fat'h Airport
sub,16-Jan-19,Cessna 208B Grand Caravan,8R-YAC,Air Services Limited - ASL,0,Georgetown-Ogle International Airport (OGL)
non,18-Jan-19,Boeing 777-212ER,9V-SQL,Singapore Airlines,0,en route Melbourne-Wellington
sub,21-Jan-19,Aero Modifications AMI DC-3-65TP,N467KS,Priority Air Charter,2,"SE of Kidron-Stoltzfus Airfield, OH"
non,22-Jan-19,Boeing 737-8LJ (WL),VP-BRR,Aeroflot Russian International Airlines,0,Khanty-Mansiysk International Airport (HMA)
sub,23-Jan-19,de Havilland Canada DHC-8-102 Dash 8,C-GTCO,Air Creebec,0,"Rouyn Airport, QC (YUY)"
sub,26-Jan-19,Airbus A321-231,TC-OEB,Onur Air,0,Antalya Airport (AYT/LTAI)
sub,28-Jan-19,Airbus A320-214 (WL),N220FR,Frontier Airlines,0,"Denver International Airport, CO (DEN/KDEN)"
sub,28-Jan-19,Boeing 727-2B6 Adv. (F),N720CK,Kalitta Charters,0,"Tuscaloosa Regional Airport, AL (TCL)"
sub,28-Jan-19,ATR 72-500 (72-212A),EC-LYJ,"Air Europa, opb Swiftair",0,Palma de Mallorca Airport (PMI)
w/o,29-Jan-19,Beechcraft B200 King Air,N13LY,Guardian Flight,3,"32 km W off Kake, AK"
w/o,30-Jan-19,Beechcraft 200 Super King Air,C-GTUC,Air Tindi,2,"39 km ESE of Whatì/Lac La Martre Airport, NT (YLE)"
non,03-Feb-19,Boeing 787-8 Dreamliner,N26909,United Airlines,0,"Pacific Ocean, Pacific Ocean"
non,04-Feb-19,Boeing 737-332,ST-TAL,"Tarco Air, opf Sudan Airways",0,Khartoum-Civil Airport
non,05-Feb-19,Boeing 737-823 (WL),N852NN,American Airlines,0,Bluefields
sub,08-Feb-19,Airbus A321-251N,SE-RKA,Novair,0,Billund Airport (BLL)
w/o,08-Feb-19,Convair C-131B Samaritan,N145GT,Conquest Air Cargo,1,"21 km E off Bay Harbor Islands, FL"
sub,09-Feb-19,Cessna 208 Caravan I,PR-RTA,RICO Taxi Aéreo,0,"231 km SSW of Caracaraí, RR"
sub,09-Feb-19,Embraer ERJ 190AR (ERJ-190-100 IGW),5Y-FFF,Kenya Airways,0,Nairobi-Jomo Kenyatta International Airport (NBO)
sub,09-Feb-19,Embraer ERJ 190AR (ERJ-190-100 IGW),5Y-KYR,Kenya Airways,0,Nairobi-Jomo Kenyatta International Airport (NBO)
sub,11-Feb-19,Raytheon Beechjet 400A,N750TA,Stein's Aircraft Services,0,"Richmond Municipal Airport, IN (RID)"
min,13-Feb-19,Embraer ERJ-175LR (ERJ-170-200 LR),N613CZ,"Delta Airlines, opb Compass Airlines",0,"near Reno-Tahoe International Airport (KRNO), Washoe County, NV"
non,13-Feb-19,de Havilland Canada DHC-6 Twin Otter 300,PJ-WII,Winair,0,Saint-Barthélémy-Rémy de Haenen Airport (SBH/TFFJ)
min,13-Feb-19,Boeing 787-9 Dreamliner,PH-BHA,KLM Royal Dutch Airlines,0,Amsterdam-Schiphol International Airport (AMS/EHAM)
min,13-Feb-19,Boeing 747-406M,PH-BFV,KLM Royal Dutch Airlines,0,Amsterdam-Schiphol International Airport (AMS/EHAM)
non,17-Feb-19,Boeing 737-832 (WL),N3730B,Delta Air Lines,0,"Franklin, Tennessee"
w/o,23-Feb-19,Boeing 767-375ER (BCF) (WL),N1217A,"Amazon Air, opb Atlas Air",3,"Trinity Bay, near Anahuac, TX"
min,24-Feb-19,Boeing 737-8E9 (WL),S2-AHV,Biman Bangladesh Airlines,1,Chittagong-Shah Amanat International Airport (CGP)
sub,25-Feb-19,de Havilland Canada EO-5C (DHC-7-102),N89068,United States Army,0,Pyongtaek-Desiderio AAF (RKSG)
sub,26-Feb-19,Gulfstream G200 Galaxy,4K-AZ88,Silk Way Business Aviation,0,Moskva-Sheremetyevo Airport (SVO)
non,27-Feb-19,Boeing 777-223ER,N771AN,American Airlines,0,"near Honolulu, Oahu, HI"
non,28-Feb-19,Embraer ERJ-195LR (ERJ-190-200 LR),G-FBEJ,Flybe,0,Exeter Airport (EXT/EGTE)
sub,02-Mar-19,de Havilland Canada DHC-8-402Q Dash 8,G-JECN,Flybe,0,Southampton-Eastleigh Airport (SOU/EGHI)
w/o,03-Mar-19,Bombardier BD-100 Challenger 350,N715CG,private,0,"Eufaula-Weedon Field, AL (EUF/KEUF)"
sub,03-Mar-19,Airbus A320-214 (WL),PR-OCW,Avianca Brasil,0,"Rio de Janeiro/Galeão-Antonio Carlos Jobim International Airport, RJ"
w/o,03-Mar-19,Honda HA-420 HondaJet,N105HJ,Banyan Jet Service,0,"Eufaula-Weedon Field, AL (EUF/KEUF)"
sub,03-Mar-19,Beechcraft 1900D,7T-VIO,Tassili Airlines,0,Ouargla-Ain Beida Airport (OGX)
sub,04-Mar-19,Cessna 208B Grand Caravan,C-FAFV,Amik Aviation,0,"1,4 km S of Little Grand Rapids Airport, MB (ZGR)"
sub,04-Mar-19,Embraer EMB-145XR,N14171,"United Express, opb CommutAir",0,"Presque Isle International Airport, ME (PQI)"
sub,07-Mar-19,Learjet 35A,LV-BNR,Baires Fly,0,"Buenos Aires-Jorge Newbery Airport, BA (AEP)"
sub,09-Mar-19,Gulfstream G-IV,N505GF,Waffle House Inc.,0,"Atlanta-DeKalb Peachtree Airport, GA (PDK)"
w/o,09-Mar-19,Douglas DC-3,HK-2494,LASER Aéreo Colombia,14,"Finca La Bendición, San Martín"
sub,10-Mar-19,Boeing 737-832 (WL),N3756,Delta Air Lines,0,"Atlanta Hartsfield-Jackson International Airport, GA (ATL/KATL)"
sub,10-Mar-19,Bombardier CRJ-900LR,N569NN,"PSA Airlines, opf American Eagle",0,"Charlotte-Douglas International Airport, NC (CLT/KCLT)"
sub,10-Mar-19,Bombardier CL-600-2C10 Regional Jet CRJ-702ER,N530EA,"PSA Airlines, opf American Eagle",0,"Charlotte-Douglas International Airport, NC (CLT/KCLT)"
w/o,10-Mar-19,Hawker Siddeley HS-125-600A,fake reg.,private,1,"near San Pedro Peralta, Chetumal, Quintana Roo"
